VEHICLE TYPES,VEHICLE TYPES
sedan,486221
station wagon/sport utility vehicle,384146
taxi,34282
pick-up truck,29069
bike,25802
box truck,25045
bus,18752
tractor truck diesel,9299
motorcycle,8318
e-bike,8090
van,7334
e-scooter,5181
ambulance,4927
dump,3698
moped,3338
convertible,2635
flat bed,2482
pk,2211
garbage or refuse,2206
carry all,1582
tractor truck gasoline,1348
tow truck / wrecker,1272
motorscooter,993
chassis cab,856
motorbike,810
4 dr sedan,785
tanker,762
concrete mixer,469
limo,416
fire truck,350
refrigerated van,340
flat rack,310
3-door,295
e-sco,293
armored truck,287
e-bik,257
trailer,254
truck,246
beverage truck,240
school bus,225
unknown,201
lift boom,199
ambul,179
stake or rack,173
multi-wheeled vehicle,167
unk,167
scooter,161
open body,138
trail,126
tow truck,124
firetruck,118
pedicab,110
fire,107
fdny,99
snow plow,98
ambu,84
minibike,80
bulk agriculture,79
forklift,75
commercial,72
fdny truck,69
subn,67
usps,66
fdny ambul,61
com,57
fdny fire,55
2 dr sedan,54
pallet,52
garbage tr,51
delv,49
scoot,47
elect,46
pickup with mounted camper,44
pick up,43
tract,40
fork lift,40
lunch wagon,39
dump truck,39
schoo,39
sanitation,38
mta bus,37
usps truck,36
forkl,36
amb,36
van camper,35
utility,34
hopper,34
unkno,34
pickup,33
box t,31
pick up tr,31
util,30
tractor tr,30
minicycle,30
motor scoo,30
tow t,29
power shov,28
sprinter v,28
delivery t,28
firet,27
motorized home,27
tractor,27
deliv,27
electric s,27
street swe,27
dirt bike,25
comme,25
gas scoote,23
road sweep,22
flat,21
skateboard,21
delivery,21
van truck,20
golf cart,20
fire engin,20
postal tru,20
trac,20
utili,20
refg,18
pickup tru,18
pas,18
mta b,18
rv,18
passenger,17
c1,17
ford,16
psd,16
self insur,16
vanette,16
motor,15
trl,15
mail truck,15
suburban,15
utility tr,15
fork,15
enclosed body - nonremovable enclosure,14
crane,13
fdny firet,13
mack,13
work van,12
van t,12
excavator,12
cargo van,12
flatbed,12
utility ve,12
backh,12
tank,12
pick,12
livestock rack,12
ems,12
suv,11
stree,11
glass rack,11
sanit,11
e scooter,11
trk,11
fdny ladde,11
garba,11
ambulence,11
electric m,10
fdny engin,10
self,10
const,10
e bik,10
usps mail,10
stak,9
dirtbike,9
government,9
food cart,9
tk,9
tow,9
mopd,9
posta,9
trailor,9
spc,9
road,9
wagon,9
nys ambula,9
us postal,9
us po,9
horse,8
constructi,8
ambulette,8
f550,8
gas moped,8
enclosed body - removable enclosure,8
mail,8
fdny ems,8
semi,7
box,7
tr,7
nyc sanita,7
commerical,7
picku,7
white,7
wheelchair,7
bobcat,7
motor home,7
uhaul,7
ups truck,7
well driller,7
pick-up tr,7
pc,7
power,7
unknown ve,7
boom lift,6
rmp,6
g com,6
fd truck,6
pass,6
ford van,6
other,6
log,6
ice cream,6
gator,6
city,6
horse carr,6
food truck,6
delivery v,6
ems truck,6
usps posta,6
lift,6
uhaul truc,6
mta,6
backhoe,5
skate,5
freig,5
cmix,5
trlr,5
pick-,5
freight,5
fedex truc,5
tl,5
food,5
ram,5
left scene,5
cater,5
flatb,5
ladder tru,5
motorized,5
postal veh,5
nyc fire t,5
bobca,5
motorscoot,5
excav,5
revel scoo,5
uknown,5
street cle,5
freightlin,5
mini van,5
moped scoo,5
van/truck,5
access a r,4
dirt,4
push scoot,4
mack truck,4
usps van,4
e-unicycle,4
sweeper,4
boom,4
e bike,4
mini,4
minivan,4
fedex,4
sprinter,4
e-skateboa,4
mailtruck,4
nyc ambula,4
transport,4
flat bed t,4
c3,4
cargo,4
comm,4
motorizeds,4
golf,4
mopped,4
car traile,4
semi trail,4
semi-trail,4
courier,4
omr,4
rd/s,4
jeep,4
rep,4
house on w,4
p/sh,4
bucket tru,4
hrse,4
0,4
unkown,4
cement tru,4
tanke,3
yello,3
escavator,3
schoolbus,3
grain,3
armor,3
horse trai,3
nypd tow t,3
12 passeng,3
ems ambula,3
ems bus,3
revel,3
nypd,3
x com,3
glben,3
white van,3
a,3
razor scoo,3
fire appar,3
sprin,3
skid loade,3
e350,3
skid,3
fed ex,3
acces,3
pumper,3
st,3
van/t,3
vms,3
vespa,3
freight tr,3
g amb,3
work,3
ambulace,3
omt,3
light trai,3
oms,3
scooter ga,3
ebike,3
escooter s,3
train,3
co,3
comm van,3
police veh,3
con ed tru,3
track,3
na,3
postal ser,3
truck trai,3
pick-up,3
mopad,3
ut,3
usps vehic,3
e sco,3
bulldozer,3
bulld,3
camper tra,3
box van,3
chevy,3
mechanical,3
trailer tr,3
department,3
cherry pic,3
pickup tow,3
movin,3
mcy,3
u-haul,3
cat,3
backhoe lo,3
couri,3
mta truck,3
moving van,2
moped clas,2
rds,2
moped bike,2
l1,2
white work,2
frieg,2
semitraile,2
nyc transi,2
freight va,2
trc,2
4dsd,2
d3,2
p/u,2
flat/,2
bucke,2
sp purpose,2
mobility s,2
liebh,2
trans,2
transit,2
pkup,2
50cc scoot,2
lawnmower,2
p psd,2
ford ambul,2
skywatch,2
bull dozer,2
ford sprin,2
ford trans,2
semi-,2
john deere,2
frt,2
can,2
uhaul box,2
uhaul trai,2
city vehic,2
city of ne,2
grumman ll,2
h1,2
revel mope,2
uhaul van,2
uhual,2
hearse,2
ice c,2
nypd van,2
rz,2
omnibus,2
chevrolet,2
unicycle,2
unkow,2
cemen,2
motorhome,2
school  bu,2
16m,2
gov,2
commerial,2
cont,2
g psd,2
work truck,2
johnd,2
concr,2
999,2
u haul,2
se,2
ups,2
yellow bus,2
command po,2
18 wheeler,2
u haul tru,2
jetski,2
u-hau,2
go kart,2
cart,2
case,2
detached t,2
mc,2
trailer no,2
amazon tru,2
escooter,2
unkn,2
e bike w p,2
esu rep,2
post offic,2
amulance,2
ltrl,2
ltr,2
special co,2
lmb,2
ambulane,2
fd ladder,2
dumps,2
penske box,2
toyota,2
dot vehicl,2
stand up s,2
swt,2
e skateboa,2
emt ambula,2
pedi cab,2
ec3,2
ecoline va,2
econo,2
econoline,2
tlc,2
marked van,2
back hoe,2
utility va,2
van (,2
back,2
pedic,2
tf,2
utv,2
bk,2
black,2
n/a,2
pump,2
dumpster t,2
dot truck,2
fdny rig,2
mta transi,2
special pu,2
nyc f,2
mobil,2
dirtb,2
abulance,2
boxtruck,2
fedex box,2
feder,2
fed ex van,2
fed ex tru,2
dollar van,2
fdny vehic,2
box car,2
dodge ram,2
f1,2
polic,1
pedestrian,1
pass van,1
quality tr,1
revel mo'e,1
r/v,1
pch,1
rescu,1
perm,1
plow,1
postal car,1
psh,1
principle,1
payloader,1
paylo,1
power ladd,1
parce,1
passanger,1
postal van,1
palfinger,1
razor150 m,1
p/sh yw,1
plow truck,1
plow  truc,1
petit cab,1
rd bldng m,1
postoffice,1
push cart,1
